"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 11","34.337","29.965","35.455","28.410","0.69K","14.30%"
"Sep 11","30.041","41.585","43.395","26.585","5.33K","-27.96%"
"Aug 11","41.699","39.625","44.150","37.215","22.45K","4.01%"
"Jul 11","40.092","34.680","41.420","33.465","8.61K","15.17%"
"Jun 11","34.812","38.225","38.335","33.580","38.18K","-9.11%"
"May 11","38.303","47.970","48.085","32.595","10.43K","-21.16%"
"Apr 11","48.584","37.500","49.520","37.180","45.20K","28.28%"
"Mar 11","37.872","33.885","38.130","33.600","9.94K","12.03%"
"Feb 11","33.804","27.995","34.010","27.995","42.89K","19.98%"
"Jan 11","28.174","30.450","31.195","26.505","1.31K","-8.85%"
